code,date,open,close,high,low,volume,money
000001.XSHE,2015-01-29,1069.27,1075.46,1083.97,1065.4,1314122.9520391277,1408818470.0
000001.XSHE,2015-01-30,1077.78,1077.78,1091.7,1065.4,1202149.7717530483,1298664402.0
000001.XSHE,2015-02-02,1052.25,1054.57,1066.95,1051.47,1112728.7102800198,1176926901.0
000001.XSHE,2015-02-03,1066.17,1079.33,1081.65,1053.79,1141700.7356415552,1217879264.0
000001.XSHE,2015-02-04,1083.19,1060.76,1086.29,1059.98,1043828.135487764,1122673253.0
000001.XSHE,2015-02-05,1106.41,1066.95,1115.69,1066.17,2473435.7664370406,2710533302.0
000001.XSHE,2015-02-06,1059.21,1045.28,1078.55,1036.77,1331779.579634165,1411318709.0
000001.XSHE,2015-02-09,1044.51,1046.06,1058.44,1023.62,1223432.9503087776,1273140856.0
000001.XSHE,2015-02-10,1043.73,1065.4,1068.49,1039.09,936880.8663412802,991835330.0
000001.XSHE,2015-02-11,1066.17,1062.3,1071.59,1058.44,716485.5031535347,763427756.0
000001.XSHE,2015-02-12,1063.85,1072.36,1075.46,1053.79,786751.0686709686,838592177.0
000001.XSHE,2015-02-13,1077.78,1079.33,1097.12,1070.81,1147379.8421242808,1244525237.0
000001.XSHE,2015-02-16,1079.33,1077.0,1083.97,1062.3,932138.5181058494,999872909.0
000001.XSHE,2015-02-17,1080.1,1082.42,1091.7,1080.1,879518.4013599157,954427931.0
000001.XSHE,2015-02-25,1086.29,1067.72,1086.29,1064.62,746263.964335219,799190886.0
000001.XSHE,2015-02-26,1067.72,1088.61,1088.61,1052.25,1325488.8417339546,1424074885.0
000001.XSHE,2015-02-27,1087.84,1082.42,1095.57,1080.1,1025668.806932614,1115132799.0
000001.XSHE,2015-03-02,1085.52,1085.52,1089.38,1073.14,1316762.649237232,1423604721.0
000001.XSHE,2015-03-03,1081.65,1052.25,1081.65,1051.47,1369339.3775243529,1457305342.0
000001.XSHE,2015-03-04,1053.79,1049.92,1061.53,1045.28,1053335.8360636998,1108192668.0
000001.XSHE,2015-03-05,1044.51,1035.22,1046.83,1028.26,1070954.473445258,1109166407.0
000001.XSHE,2015-03-06,1034.45,1039.87,1045.28,1033.68,719967.4113110292,748954953.0
000001.XSHE,2015-03-09,1042.19,1094.8,1108.73,1030.58,2850322.8534892225,3067982065.0
000001.XSHE,2015-03-10,1083.19,1065.4,1090.93,1065.4,1790986.636005256,1927550610.0
000001.XSHE,2015-03-11,1066.95,1072.36,1089.38,1066.95,1167563.7323286957,1258374591.0
000001.XSHE,2015-03-12,1098.67,1129.62,1156.7,1090.16,4271790.531329119,4805396524.0
000001.XSHE,2015-03-13,1152.83,1159.79,1206.99,1145.09,4089376.5354072736,4799917337.0
